-1.5	0	0.3	99	0	0	0	660.72
-0.6	0	0.2	99	0	0	0	663.6
0	0	0.2	99	0	0	0	660
-0.5	0	0.2	98	0	0	0	654.48
-1.3	0	0	99	0	0	0	657.12
-2.2	0	0.1	99	0	0	0	666
-2.3	0	0	99	0	0	0	677.04
-2.6	0	0	99	0	0	0	679.92
-1.8	0	0.1	99	0	0	0	679.68
-1.4	0	0.9	99	0	0	0	694.32
-0.6	0	0.3	99	0	0	0	705.6
0.9	0	0.1	98	0.1	0	0	642
3.5	0	0.5	87	0.7	0	0	626.88
5.3	0	1.2	78	0.9	0	0	626.16
7.2	0	1.3	67	1	0	0	606.96
9.7	0	1.6	54	1	0	0	672.72
8.4	0	0.3	59	1	0	0	696.72
5.9	0	0.2	73	0.2	0	0	724.8
4.3	0	0.7	84	0	0	0	731.04
3.4	0	0.7	88	0	0	0	711.6
2.4	0	0.8	91	0	0	0	717.84
1.7	0	0.6	95	0	0	0	718.32
0.9	0	0	98	0	0	0	710.16
0.1	0	0.4	98	0	0	0	681.84
0	0	0.8	99	0	0	0	672.72
-0.4	0	0	99	0	0	0	698.16
-0.8	0	1.1	99	0	0	0	1124.4
-0.8	0	0.1	99	0	0	0	1153.7
-0.5	0	0.1	99	0	0	0	1111.9
-1.3	0	0.6	99	0	0	0	1390.3
-1.8	0	0.3	99	0	0	0	1590.7
-1.5	0	0.1	99	0	0	0	1662.7
-1.1	0	0	99	0	0	0	1808.9
0.1	0	0.3	99	0	0	0	1730.4
1.9	0	0.1	97	0.2	0	0	1645.2
4.4	0	0.6	86	0.9	0	0	1606.8
6.2	0	0.2	80	0.5	0	0	1516.8
7.1	0	0.2	76	0	0	0	1569.8
8.4	0	0	70	0	0	0	1514.6
9.3	0	0.2	69	0	0	0	1450.3
10.3	0	1.1	68	0.2	0	0	1418.4
10	0	2	67	0.3	0	0	1309.7
9.2	0	1.6	68	0	0	0	1155.1
9.2	0	1.5	68	0	0	0	875.04
8.7	0	1.1	73	0	0	0	843.36
6.9	0	0.6	79	0	0	0	826.56
7.1	0	1.3	77	0	0	0	756.96
7.1	0	1.5	76	0	0	0	707.52
6.5	0	2.3	76	0	0	0	677.04
6.4	0	3.5	69	0	0	0	664.32
5.7	0	2.6	70	0	0	0	655.92
5.2	0	2.3	70	0	0	0	953.76
3.9	0	1.6	78	0	0	0	1026
3.3	0	1.5	77	0	0	0	1312.3
2.2	0	0.5	80	0	0	0	1575.8
0.9	0	0.8	90	0	0	0	1667
1.9	0	0.8	81	0	0	0	1746
3.2	0	1.5	78	0	0	0	1627.9
4.9	0	1.4	63	0.9	0	0	1509.6
6.2	0	1.9	53	1	0	0	1378.3
8.1	0	1.9	41	1	0	0	1291
9.3	0	1.7	32	1	0	0	1308
10.2	0	2.3	30	1	0	0	1183.9
9.9	0	2.3	31	1	0	0	1137.1
9.5	0	1.5	29	1	0	0	1175.5
8.1	0	1.2	34	0.3	0	0	1255.4
5	0	0.6	49	0	0	0	1112.2
3.2	0	0.5	60	0	0	0	838.32
2.2	0	1.1	66	0	0	0	819.36
3.1	0	1.5	59	0	0	0	806.88
2.4	0	1.2	63	0	0	0	732.24
1.1	0	1	76	0	0	0	694.08
0.1	0	0.3	85	0	0	0	673.2
0	0	0.5	86	0	0	0	666.24
-1.4	0	0.3	91	0	0	0	663.6
-1.8	0	0.6	94	0	0	0	896.16
-2.2	0	0.4	97	0	0	0	1045.4
-1.7	0	0.1	94	0	0	0	1329.1
-1	0	0	93	0	0	0	1564.6
0.3	0	0	91	0	0	0	1625.3
1	0	0.1	89	0	0	0	1736.4
2.2	0	0	84	0	0	0	1622.2
4.2	0	0.1	78	0	0	0	1564.8
6.6	0	0	67	0.3	0	0	1370.6
9.2	0	1.9	63	0.9	0	0	1283
10.3	0	1.7	55	0.7	0	0	1273.2
10.7	0	1.9	51	1	0	0	1126.1
10	0	1.8	46	1	0	0	1096.8
10	0	0.9	43	1	0	0	1123.9
8	0	1.2	53	0.3	0	0	1215.8
5.8	0	1.1	63	0	0	0	1123
4.1	0	0.1	69	0	0	0	847.2
3.4	0	0.5	70	0	0	0	802.08
2.8	0	1.2	72	0	0	0	755.04
1.9	0	0.8	77	0	0	0	714.96
0.4	0	1	83	0	0	0	683.28
0.1	0	0.4	88	0	0	0	665.28
-0.2	0	0.1	88	0	0	0	654.48
-1.2	0	0.1	93	0	0	0	656.16
-1.4	0	0.8	94	0	0	0	922.8
-1.4	0	0	96	0	0	0	1012.1
-1.5	0	0.8	97	0	0	0	1275.8
-1.3	0	0.2	96	0	0	0	1515.4
-1.4	0	0.3	96	0	0	0	1624.8
-0.5	0	0.3	92	0	0	0	1784.6
0.1	0	0.2	90	0	0	0	1569.1
2.3	0	0.5	79	0	0	0	1494.5
4.3	0	0.5	71	0.2	0	0	1440.2
5.7	0	0.1	63	0	0	0	1212.7
6.5	0	0.1	63	0	0	0	1255.7
7.3	0	0.1	66	0	0	0	1147.2
8.2	0	0.3	67	0	0	0	1142.6
8.1	0	0.7	71	0	0	0	1124.6
7.3	0	1.2	81	0	0	0	1201
7.1	0	1.4	83	0	0	0	1117.4
7	0	0.7	84	0	0	0	836.4
7.1	0	0.8	78	0	0	0	805.44
7	0	0.6	78	0	0	0	789.36
6.7	0	0.2	79	0	0	0	730.32
6.2	0	0.5	79	0	0	0	697.92
5.9	0	0.3	79	0	0	0	665.52
5.7	0	0.3	81	0	0	0	654.24
4.3	0	0.1	90	0	0	0	655.68
4.3	0	0.3	91	0	0	0	789.36
4.4	0	0.1	90	0	0	0	1043.3
4.5	0	0.3	93	0	0	0	1335.8
4.4	0	0.8	89	0	0	0	1503.8
4.1	0	0.4	91	0	0	0	1597.2
4	0	0.4	94	0	0	0	1658.4
4.5	0	0.4	92	0	0	0	1544.6
5.6	0	0.2	81	0	0	0	1519.4
6.5	0	0.2	75	0	0	0	1266
7.1	0	0.4	65	0.6	0	0	1207.4
8.6	0	0.8	58	0.7	0	0	1131.6
8.8	0	0.8	60	0	0	0	1012.3
8.4	0	1.1	59	0.3	0	0	954
8.6	0	0.7	56	0.3	0	0	894.24
7.2	0	0.2	66	0.3	0	0	982.56
4.9	0	0.4	78	0	0	0	877.44
3.6	0	1.4	86	0	0	0	710.64
2.4	0	1	91	0	0	0	733.44
1.5	0	1	95	0	0	0	682.8
1.3	0	0.9	97	0	0	0	674.64
0.5	0	1	98	0	0	0	654.96
-0.1	0	0.8	99	0	0	0	644.16
-0.5	0	1.2	99	0	0	0	641.52
-0.9	0	0.4	99	0	0	0	638.88
-1.3	0	1	99	0	0	0	642.96
-2	0	0.7	99	0	0	0	637.44
-2.3	0	0.2	99	0	0	0	645.6
-2.2	0	0.1	99	0	0	0	665.04
-2.6	0	0.1	99	0	0	0	673.68
-2.6	0	0.3	99	0	0	0	681.84
-1.6	0	0.3	99	0	0	0	686.64
0.1	0	1.1	99	0.4	0	0	636.72
0.7	0	1	96	1	0	0	626.64
3.9	0	0.7	82	1	0	0	608.16
6	0	0.8	73	0.9	0	0	639.36
6.7	0	0.4	66	0.7	0	0	665.04
7.3	0	0.2	62	0.1	0	0	711.36
7.7	0	0.6	62	0	0	0	701.76
